pk_column,requested_datetime,closed_date,updated_datetime,open,closed,service_name,lat,long,district,deltaDate
27,2018-10-20T17:54:00,2018-10-22T11:54:00,2018-10-22T11:54:00,0,1,Graffiti,32.7608459909,-117.10422568,9,2
60,2018-10-19T11:31:00,2018-10-22T11:08:00,2018-10-22T11:43:00,0,1,Graffiti,32.7426875616,-117.113051154,9,3
63,2018-10-19T09:05:00,2018-10-22T11:01:00,2018-10-22T11:30:00,0,1,Graffiti,32.751598,-117.115761,9,3
71,2018-10-18T23:15:00,2018-10-22T10:52:00,2018-10-22T10:53:00,0,1,Graffiti,32.7548291,-117.1144567,9,4
72,2018-10-18T21:18:00,2018-10-22T10:36:00,2018-10-22T10:36:00,0,1,Graffiti,32.7492297,-117.0876595,9,4
76,2018-10-18T17:15:00,2018-10-22T10:14:00,2018-10-22T10:14:00,0,1,Graffiti,32.6711955853,-117.051283149,4,4
81,2018-10-18T12:50:00,2018-10-22T09:28:00,2018-10-22T09:28:00,0,1,Graffiti,32.7262100299,-117.097940446,9,4
84,2018-10-18T10:15:00,2018-10-22T09:26:00,2018-10-22T09:27:00,0,1,Graffiti,32.726411063,-117.097927865,9,4
90,2018-10-18T06:17:00,2018-10-18T13:29:00,2018-10-18T13:29:00,0,1,Graffiti,32.804384,-117.150122,7,0
91,2018-10-17T22:26:00,2018-10-19T11:55:00,2018-10-19T11:55:00,0,1,Graffiti,32.7999974506,-117.225991962,2,2
100,2018-10-17T16:57:00,2018-10-19T08:29:00,2018-10-19T08:29:00,0,1,Graffiti,32.67158987,-117.055468569,4,2
101,2018-10-17T16:48:00,2018-10-19T08:24:00,2018-10-19T08:24:00,0,1,Graffiti,32.6721728314,-117.05529213,4,2
104,2018-10-17T14:06:00,2018-10-18T10:00:00,2018-10-18T10:00:00,0,1,Graffiti,32.749767,-117.099917,9,1
107,2018-10-17T13:55:00,2018-10-22T10:12:00,2018-10-22T10:12:00,0,1,Graffiti,32.75309,-117.101015,9,5
111,2018-10-17T11:23:00,2018-10-22T11:31:00,2018-10-22T11:43:00,0,1,Graffiti,32.753192,-117.115647,9,5
114,2018-10-17T09:58:00,2018-10-18T10:48:00,2018-10-18T10:49:00,0,1,Graffiti,32.694117,-117.117187,9,1
115,2018-10-17T09:50:00,2018-10-17T13:28:00,2018-10-17T13:28:00,0,1,Graffiti,32.6959716667,-117.118888833,9,0
116,2018-10-17T08:59:00,2018-10-18T08:35:00,2018-10-18T08:35:00,0,1,Graffiti,32.7149349782,-117.090852009,4,1
118,2018-10-17T07:43:00,2018-10-19T08:58:00,2018-10-19T08:58:00,0,1,Graffiti,32.7512491728,-117.247340558,2,2
119,2018-10-17T07:41:00,2018-10-19T09:04:00,2018-10-19T09:04:00,0,1,Graffiti,32.750677066,-117.247930728,2,2
123,2018-10-16T15:04:00,2018-10-19T14:01:00,2018-10-19T14:01:00,0,1,Graffiti,32.7547108149,-117.114264518,9,3
124,2018-10-16T11:49:00,2018-10-17T13:38:00,2018-10-17T13:39:00,0,1,Graffiti,32.7505311987,-117.14654721,3,1
125,2018-10-16T11:05:00,2018-10-17T08:56:00,2018-10-17T08:56:00,0,1,Graffiti,32.800724802,-117.234457588,2,1
126,2018-10-16T11:00:00,2018-10-17T12:33:00,2018-10-17T12:33:00,0,1,Graffiti,32.7081100729,-117.164586463,3,1
129,2018-10-16T10:38:00,2018-10-19T14:01:00,2018-10-19T14:01:00,0,1,Graffiti,32.8212674,-117.1682734,6,3
130,2018-10-16T10:29:00,2018-10-17T09:10:00,2018-10-17T09:10:00,0,1,Graffiti,32.8010294434,-117.23301142,2,1
133,2018-10-16T08:13:00,2018-10-18T08:46:00,2018-10-18T08:46:00,0,1,Graffiti,32.724666,-117.10355,9,2
136,2018-10-15T18:57:00,2018-10-18T09:24:00,2018-10-18T09:25:00,0,1,Graffiti,32.747621,-117.092637,9,3
139,2018-10-15T18:33:00,2018-10-18T15:21:00,2018-10-18T15:21:00,0,1,Graffiti,32.745989,-117.092884,9,3
140,2018-10-15T17:03:00,2018-10-19T11:02:00,2018-10-19T11:02:00,0,1,Graffiti,32.7085751798,-117.146702843,8,4
141,2018-10-15T17:02:00,2018-10-19T10:38:00,2018-10-19T10:39:00,0,1,Graffiti,32.7060976412,-117.146694888,8,4
142,2018-10-15T16:19:00,2018-10-19T11:12:00,2018-10-19T11:13:00,0,1,Graffiti,32.8005892877,-117.241029488,2,4
143,2018-10-15T15:53:00,2018-10-16T13:00:00,2018-10-16T13:00:00,0,1,Graffiti,32.83442,-117.1841,6,1
149,2018-10-15T13:00:00,2018-10-19T08:52:00,2018-10-19T08:52:00,0,1,Graffiti,32.7517072019,-117.245954024,2,4
150,2018-10-15T12:59:00,2018-10-19T08:44:00,2018-10-19T08:44:00,0,1,Graffiti,32.7516826848,-117.245919742,2,4
151,2018-10-15T12:58:00,2018-10-19T08:50:00,2018-10-19T08:50:00,0,1,Graffiti,32.751636752,-117.245823434,2,4
156,2018-10-15T12:36:00,2018-10-17T08:57:00,2018-10-17T08:57:00,0,1,Graffiti,32.72343,-117.084738,4,2
161,2018-10-15T10:04:00,2018-10-17T08:44:00,2018-10-17T08:44:00,0,1,Graffiti,32.665017424,-117.057640241,4,2
164,2018-10-15T09:32:00,2018-10-17T11:29:00,2018-10-17T11:30:00,0,1,Graffiti,32.764578,-117.1204659,3,2
167,2018-10-15T08:50:00,2018-10-16T10:51:00,2018-10-16T10:51:00,0,1,Graffiti,32.8241799749,-117.185581522,6,1
168,2018-10-15T08:36:00,2018-10-22T10:10:00,2018-10-22T10:11:00,0,1,Graffiti,32.892471,-117.206711,6,7
171,2018-10-14T22:25:00,2018-10-22T09:44:00,2018-10-22T09:44:00,0,1,Graffiti,32.9503965304,-117.253184817,1,8
173,2018-10-14T21:13:00,2018-10-18T13:18:00,2018-10-18T13:18:00,0,1,Graffiti,32.7149185659,-117.162001305,3,4
174,2018-10-14T17:59:00,2018-10-17T13:32:00,2018-10-17T13:32:00,0,1,Graffiti,32.7460210445,-117.119975444,9,3
175,2018-10-14T17:57:00,2018-10-17T11:29:00,2018-10-17T11:29:00,0,1,Graffiti,32.7462898102,-117.119199531,9,3
176,2018-10-14T16:52:00,2018-10-17T12:58:00,2018-10-17T12:58:00,0,1,Graffiti,32.735657,-117.135498,3,3
177,2018-10-14T16:52:00,2018-10-19T08:27:00,2018-10-19T08:28:00,0,1,Graffiti,32.751300394,-117.235277071,2,5
178,2018-10-14T14:20:00,2018-10-17T13:18:00,2018-10-17T13:18:00,0,1,Graffiti,32.735256292,-117.147009932,3,3
184,2018-10-14T10:47:00,2018-10-19T09:35:00,2018-10-19T09:35:00,0,1,Graffiti,32.7531459974,-117.245798707,2,5
185,2018-10-14T10:46:00,2018-10-19T09:34:00,2018-10-19T09:35:00,0,1,Graffiti,32.7530867374,-117.245795941,2,5
187,2018-10-14T10:43:00,2018-10-15T02:42:00,2018-10-15T02:42:00,0,1,Graffiti,32.7531501046,-117.245953353,2,1
193,2018-10-14T10:31:00,2018-10-19T09:18:00,2018-10-19T09:18:00,0,1,Graffiti,32.7517098841,-117.249565534,2,5
196,2018-10-14T10:12:00,2018-10-19T14:07:00,2018-10-19T14:08:00,0,1,Graffiti,32.8323090206,-117.178794924,6,5
197,2018-10-14T09:59:00,2018-10-22T09:08:00,2018-10-22T09:08:00,0,1,Graffiti,32.721832,-117.163338,3,8
205,2018-10-13T17:09:00,2018-10-16T14:12:00,2018-10-16T14:12:00,0,1,Graffiti,32.7491860071,-117.086078334,9,3
206,2018-10-13T17:04:00,2018-10-19T10:50:00,2018-10-19T10:52:00,0,1,Graffiti,32.7083366667,-117.145058333,8,6
208,2018-10-13T16:17:00,2018-10-17T11:29:00,2018-10-17T11:29:00,0,1,Graffiti,32.744692,-117.126973,3,4
212,2018-10-13T14:56:00,2018-10-18T09:03:00,2018-10-18T09:03:00,0,1,Graffiti,32.8293825915,-117.103224166,7,5
214,2018-10-13T12:11:00,2018-10-16T13:49:00,2018-10-16T13:49:00,0,1,Graffiti,32.791695,-117.158859,7,3
215,2018-10-13T10:55:00,2018-10-17T11:05:00,2018-10-17T11:05:00,0,1,Graffiti,32.7121966667,-117.1120695,9,4
216,2018-10-13T10:43:00,2018-10-17T14:08:00,2018-10-17T14:08:00,0,1,Graffiti,32.7473816048,-117.130538836,3,4
217,2018-10-13T09:47:00,2018-10-17T08:26:00,2018-10-17T08:27:00,0,1,Graffiti,32.753152,-117.079535,9,4
219,2018-10-13T07:42:00,2018-10-18T13:30:00,2018-10-18T13:30:00,0,1,Graffiti,32.711827741,-117.166938325,3,5
221,2018-10-12T17:55:00,2018-10-17T10:15:00,2018-10-17T10:15:00,0,1,Graffiti,32.8024083098,-117.212305911,2,5
224,2018-10-12T15:39:00,2018-10-17T11:13:00,2018-10-17T11:13:00,0,1,Graffiti,32.7757881122,-117.099819355,9,5
225,2018-10-12T14:20:00,2018-10-16T08:45:00,2018-10-16T08:45:00,0,1,Graffiti,32.734212,-117.071279,4,4
226,2018-10-12T14:18:00,2018-10-16T08:51:00,2018-10-16T08:51:00,0,1,Graffiti,32.734006,-117.071183,4,4
231,2018-10-12T11:54:00,2018-10-17T09:06:00,2018-10-17T09:06:00,0,1,Graffiti,32.709987578,-117.091206322,4,5
233,2018-10-12T11:33:00,2018-10-17T10:34:00,2018-10-17T10:34:00,0,1,Graffiti,32.6846671,-117.1052872,8,5
234,2018-10-12T11:21:00,2018-10-18T13:34:00,2018-10-18T13:34:00,0,1,Graffiti,32.7499782314,-117.11679716,9,6
237,2018-10-12T08:39:00,2018-10-17T11:11:00,2018-10-17T11:11:00,0,1,Graffiti,32.7066467144,-117.122632891,8,5
238,2018-10-12T08:38:00,2018-10-17T10:59:00,2018-10-17T10:59:00,0,1,Graffiti,32.7081116667,-117.122558333,8,5
239,2018-10-12T07:29:00,2018-10-19T13:05:00,2018-10-19T13:05:00,0,1,Graffiti,32.711171438,-117.167785484,3,7
240,2018-10-11T20:37:00,2018-10-18T08:57:00,2018-10-18T08:57:00,0,1,Graffiti,32.8179120464,-117.093174458,7,7
242,2018-10-11T20:08:00,2018-10-18T08:54:00,2018-10-18T08:54:00,0,1,Graffiti,32.8172956309,-117.08934775,7,7
243,2018-10-11T20:02:00,2018-10-18T08:50:00,2018-10-18T08:50:00,0,1,Graffiti,32.8158561423,-117.087111083,7,7
246,2018-10-11T19:13:00,2018-10-17T08:59:00,2018-10-17T08:59:00,0,1,Graffiti,32.7207057,-117.0853841,4,6
247,2018-10-11T19:11:00,2018-10-16T12:01:00,2018-10-16T12:01:00,0,1,Graffiti,32.7480871,-117.0796403,9,5
248,2018-10-11T18:13:00,2018-10-16T13:35:00,2018-10-16T13:35:00,0,1,Graffiti,32.8209976029,-117.144887328,6,5
249,2018-10-11T18:08:00,2018-10-22T08:27:00,2018-10-22T08:28:00,0,1,Graffiti,32.742084,-117.13019,3,11
251,2018-10-11T18:06:00,2018-10-19T12:22:00,2018-10-19T12:22:00,0,1,Graffiti,32.7899633333,-117.206863333,2,8
259,2018-10-11T17:07:00,2018-10-19T14:04:00,2018-10-19T14:04:00,0,1,Graffiti,32.702707015,-117.036762843,4,8
261,2018-10-11T15:43:00,2018-10-17T11:42:00,2018-10-17T11:42:00,0,1,Graffiti,32.7711677132,-117.130034193,7,6
262,2018-10-11T15:43:00,2018-10-17T12:05:00,2018-10-17T12:05:00,0,1,Graffiti,32.7709485311,-117.13109429,7,6
263,2018-10-11T15:23:00,2018-10-17T11:26:00,2018-10-17T11:26:00,0,1,Graffiti,32.7773562447,-117.110143136,7,6
264,2018-10-11T15:04:00,2018-10-17T13:11:00,2018-10-17T13:12:00,0,1,Graffiti,32.772641743,-117.203036226,2,6
266,2018-10-11T14:48:00,2018-10-17T13:16:00,2018-10-17T13:17:00,0,1,Graffiti,32.7723916667,-117.20247,2,6
267,2018-10-11T13:59:00,2018-10-18T11:37:00,2018-10-18T11:37:00,0,1,Graffiti,32.766348,-117.161737,7,7
269,2018-10-11T11:10:00,2018-10-19T10:09:00,2018-10-19T10:09:00,0,1,Graffiti,32.767766295,-117.251046792,2,8
272,2018-10-11T09:59:00,2018-10-18T09:33:00,2018-10-18T09:34:00,0,1,Graffiti,32.894724,-117.117564,6,7
274,2018-10-11T09:56:00,2018-10-19T10:25:00,2018-10-19T10:25:00,0,1,Graffiti,32.7639727854,-117.25121563,2,8
278,2018-10-11T09:38:00,2018-10-17T14:22:00,2018-10-17T14:22:00,0,1,Graffiti,32.7437337069,-117.125638928,3,6
281,2018-10-11T09:02:00,2018-10-18T09:40:00,2018-10-18T09:40:00,0,1,Graffiti,32.7682916667,-117.1536555,7,7
282,2018-10-11T09:02:00,2018-10-18T10:03:00,2018-10-18T10:04:00,0,1,Graffiti,32.768005,-117.154197167,7,7
283,2018-10-11T09:01:00,2018-10-18T10:31:00,2018-10-18T10:31:00,0,1,Graffiti,32.7677033333,-117.155311167,7,7
285,2018-10-11T08:59:00,2018-10-18T10:45:00,2018-10-18T10:46:00,0,1,Graffiti,32.767075,-117.157975,7,7
286,2018-10-11T08:58:00,2018-10-18T11:00:00,2018-10-18T11:00:00,0,1,Graffiti,32.7667166667,-117.159272167,7,7
288,2018-10-11T08:56:00,2018-10-18T11:30:00,2018-10-18T11:30:00,0,1,Graffiti,32.766455,-117.1615305,7,7
290,2018-10-11T08:52:00,2018-10-17T13:54:00,2018-10-17T13:54:00,0,1,Graffiti,32.7652283333,-117.197105,2,6
291,2018-10-11T08:51:00,2018-10-17T13:44:00,2018-10-17T13:44:00,0,1,Graffiti,32.7656283333,-117.197808333,2,6
292,2018-10-10T18:19:00,2018-10-17T10:06:00,2018-10-17T10:06:00,0,1,Graffiti,32.8094118653,-117.068378292,7,7
294,2018-10-10T16:16:00,2018-10-19T14:08:00,2018-10-19T14:08:00,0,1,Graffiti,32.7963375,-117.2076912,2,9
295,2018-10-10T16:16:00,2018-10-19T10:46:00,2018-10-19T10:46:00,0,1,Graffiti,32.7619216943,-117.252231812,2,9
300,2018-10-10T14:14:00,2018-10-17T10:43:00,2018-10-17T10:43:00,0,1,Graffiti,32.7030915343,-117.116290489,9,7
301,2018-10-10T14:06:00,2018-10-16T14:06:00,2018-10-16T14:06:00,0,1,Graffiti,32.749527,-117.100256,9,6
303,2018-10-10T13:58:00,2018-10-16T13:54:00,2018-10-16T13:54:00,0,1,Graffiti,32.749343,-117.103526,9,6
304,2018-10-10T13:56:00,2018-10-16T13:52:00,2018-10-16T13:52:00,0,1,Graffiti,32.749478,-117.104639,9,6
307,2018-10-10T12:09:00,2018-10-17T10:39:00,2018-10-17T10:40:00,0,1,Graffiti,32.7972534758,-117.208669137,2,7
308,2018-10-10T12:05:00,2018-10-19T14:09:00,2018-10-19T14:09:00,0,1,Graffiti,32.7967670087,-117.207692451,2,9
309,2018-10-10T12:02:00,2018-10-19T14:09:00,2018-10-19T14:09:00,0,1,Graffiti,32.7963153949,-117.207448354,2,9
310,2018-10-10T11:08:00,2018-10-17T09:39:00,2018-10-17T09:39:00,0,1,Graffiti,32.7754687,-117.0501468,9,7
311,2018-10-10T10:29:00,2018-10-11T10:11:00,2018-10-11T10:11:00,0,1,Graffiti,32.6733944519,-117.056250936,4,1
312,2018-10-10T10:28:00,2018-10-17T08:27:00,2018-10-17T08:27:00,0,1,Graffiti,32.6739362581,-117.056396613,4,7
313,2018-10-10T10:19:00,2018-10-17T08:34:00,2018-10-17T08:34:00,0,1,Graffiti,32.6743527549,-117.060865592,4,7
316,2018-10-10T09:41:00,2018-10-18T13:25:00,2018-10-18T13:26:00,0,1,Graffiti,32.7124056733,-117.163790669,3,8
